Node,Depth,Value,Alpha,Beta
E5,3,-33,5,19
B2,2,5,5,19
B1,1,5,-3,5
A3,2,-Infinity,-3,5
A1,3,-7,-3,5
A3,2,-7,-3,5
E1,3,3,-3,5
A3,2,3,3,5
A2,3,-7,3,5
A3,2,3,3,5
B2,3,-11,3,5
A3,2,3,3,5
B3,3,21,3,5
A3,2,21,3,5
B1,1,5,-3,5
B3,2,-Infinity,-3,5
A1,3,-27,-3,5
B3,2,-27,-3,5
E1,3,-17,-3,5
B3,2,-17,-3,5
A2,3,-27,-3,5
B3,2,-17,-3,5
B2,3,65,-3,5
B3,2,65,-3,5
B1,1,5,-3,5
C3,2,-Infinity,-3,5
A1,3,-10,-3,5
C3,2,-10,-3,5
E1,3,0,-3,5
C3,2,0,0,5
A2,3,-10,0,5
C3,2,0,0,5
B2,3,-14,0,5
C3,2,0,0,5
A3,3,-2,0,5
C3,2,0,0,5
B3,3,18,0,5
C3,2,18,0,5
B1,1,5,-3,5
E3,2,-Infinity,-3,5
A1,3,18,-3,5
E3,2,18,-3,5
B1,1,5,-3,5
A4,2,-Infinity,-3,5
A1,3,1,-3,5
A4,2,1,1,5
E1,3,11,1,5
A4,2,11,1,5
B1,1,5,-3,5
B4,2,-Infinity,-3,5
A1,3,9,-3,5
B4,2,9,-3,5
B1,1,5,-3,5
E4,2,-Infinity,-3,5
A1,3,19,-3,5
E4,2,19,-3,5
B1,1,5,-3,5
A5,2,-Infinity,-3,5
A1,3,-4,-3,5
A5,2,-4,-3,5
E1,3,6,-3,5
A5,2,6,-3,5
B1,1,5,-3,5
B5,2,-Infinity,-3,5
A1,3,-9,-3,5
B5,2,-9,-3,5
E1,3,1,-3,5
B5,2,1,1,5
A2,3,-9,1,5
B5,2,1,1,5
B2,3,-13,1,5
B5,2,1,1,5
A3,3,-1,1,5
B5,2,1,1,5
B3,3,19,1,5
B5,2,19,1,5
B1,1,5,-3,5
C5,2,-Infinity,-3,5
A1,3,-2,-3,5
C5,2,-2,-2,5
E1,3,8,-2,5
C5,2,8,-2,5
B1,1,5,-3,5
D5,2,-Infinity,-3,5
A1,3,0,-3,5
D5,2,0,0,5
E1,3,10,0,5
D5,2,10,0,5
B1,1,5,-3,5
E5,2,-Infinity,-3,5
A1,3,11,-3,5
E5,2,11,-3,5
B1,1,5,-3,5
root,0,5,5,Infinity
E1,1,Infinity,5,Infinity
A1,2,-Infinity,5,Infinity
B1,3,11,5,Infinity
A1,2,11,11,Infinity
A2,3,15,11,Infinity
A1,2,15,15,Infinity
B2,3,7,15,Infinity
A1,2,15,15,Infinity
A3,3,23,15,Infinity
A1,2,23,23,Infinity
B3,3,43,23,Infinity
A1,2,43,43,Infinity
C3,3,8,43,Infinity
A1,2,43,43,Infinity
E3,3,12,43,Infinity
A1,2,43,43,Infinity
A4,3,15,43,Infinity
A1,2,43,43,Infinity
B4,3,7,43,Infinity
A1,2,43,43,Infinity
E4,3,-3,43,Infinity
A1,2,43,43,Infinity
A5,3,20,43,Infinity
A1,2,43,43,Infinity
B5,3,25,43,Infinity
A1,2,43,43,Infinity
C5,3,18,43,Infinity
A1,2,43,43,Infinity
D5,3,16,43,Infinity
A1,2,43,43,Infinity
E5,3,5,43,Infinity
A1,2,43,43,Infinity
E1,1,43,5,43
B1,2,-Infinity,5,43
A1,3,19,5,43
B1,2,19,19,43
A2,3,19,19,43
B1,2,19,19,43
B2,3,11,19,43
B1,2,19,19,43
A3,3,27,19,43
B1,2,27,27,43
B3,3,47,27,43
B1,2,47,27,43
E1,1,43,5,43
A2,2,-Infinity,5,43
A1,3,15,5,43
A2,2,15,15,43
B1,3,11,15,43
A2,2,15,15,43
B2,3,7,15,43
A2,2,15,15,43
A3,3,23,15,43
A2,2,23,23,43
B3,3,43,23,43
A2,2,43,23,43
E1,1,43,5,43
B2,2,-Infinity,5,43
A1,3,23,5,43
B2,2,23,23,43
B1,3,19,23,43
B2,2,23,23,43
A2,3,23,23,43
B2,2,23,23,43
A3,3,31,23,43
B2,2,31,31,43
B3,3,51,31,43
B2,2,51,31,43
E1,1,43,5,43
A3,2,-Infinity,5,43
A1,3,7,5,43
A3,2,7,7,43
B1,3,3,7,43
A3,2,7,7,43
A2,3,7,7,43
A3,2,7,7,43
B2,3,-1,7,43
A3,2,7,7,43
B3,3,35,7,43
A3,2,35,35,43
C3,3,0,35,43
A3,2,35,35,43
E3,3,4,35,43
A3,2,35,35,43
A4,3,7,35,43
A3,2,35,35,43
B4,3,-1,35,43
A3,2,35,35,43
E4,3,-11,35,43
A3,2,35,35,43
A5,3,12,35,43
A3,2,35,35,43
B5,3,17,35,43
A3,2,35,35,43
C5,3,10,35,43
A3,2,35,35,43
D5,3,8,35,43
A3,2,35,35,43
E5,3,-3,35,43
A3,2,35,35,43
E1,1,35,5,35
B3,2,-Infinity,5,35
A1,3,-13,5,35
B3,2,-13,5,35
B1,3,-17,5,35
B3,2,-13,5,35
A2,3,-13,5,35
B3,2,-13,5,35
B2,3,-21,5,35
B3,2,-13,5,35
A3,3,-5,5,35
B3,2,-5,5,35
C3,3,76,5,35
B3,2,76,5,35
E1,1,35,5,35
C3,2,-Infinity,5,35
