Node,Depth,Value,Alpha,Beta
B3,3,37,32,33
B1,2,37,32,33
A4,1,33,32,33
E1,2,-Infinity,32,33
A1,3,-5,32,33
E1,2,-5,32,33
B1,3,-9,32,33
E1,2,-5,32,33
A2,3,-5,32,33
E1,2,-5,32,33
B2,3,-13,32,33
E1,2,-5,32,33
A3,3,3,32,33
E1,2,3,32,33
B3,3,23,32,33
E1,2,23,32,33
C3,3,-12,32,33
E1,2,23,32,33
E3,3,-8,32,33
E1,2,23,32,33
B4,3,-13,32,33
E1,2,23,32,33
E4,3,-23,32,33
E1,2,23,32,33
A5,3,0,32,33
E1,2,23,32,33
B5,3,5,32,33
E1,2,23,32,33
C5,3,-2,32,33
E1,2,23,32,33
D5,3,-4,32,33
E1,2,23,32,33
E5,3,-15,32,33
E1,2,23,32,33
A4,1,23,32,33
root,0,32,32,Infinity
B4,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,-7,32,Infinity
A1,2,-7,32,Infinity
E1,3,7,32,Infinity
A1,2,7,32,Infinity
A2,3,-3,32,Infinity
A1,2,7,32,Infinity
B2,3,-11,32,Infinity
A1,2,7,32,Infinity
A3,3,5,32,Infinity
A1,2,7,32,Infinity
B3,3,25,32,Infinity
A1,2,25,32,Infinity
C3,3,-10,32,Infinity
A1,2,25,32,Infinity
E3,3,-6,32,Infinity
A1,2,25,32,Infinity
A4,3,-3,32,Infinity
A1,2,25,32,Infinity
E4,3,-21,32,Infinity
A1,2,25,32,Infinity
A5,3,2,32,Infinity
A1,2,25,32,Infinity
B5,3,7,32,Infinity
A1,2,25,32,Infinity
C5,3,0,32,Infinity
A1,2,25,32,Infinity
D5,3,-2,32,Infinity
A1,2,25,32,Infinity
E5,3,-13,32,Infinity
A1,2,25,32,Infinity
B4,1,25,32,Infinity
root,0,32,32,Infinity
E4,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,-17,32,Infinity
A1,2,-17,32,Infinity
E1,3,-3,32,Infinity
A1,2,-3,32,Infinity
A2,3,-13,32,Infinity
A1,2,-3,32,Infinity
B2,3,-21,32,Infinity
A1,2,-3,32,Infinity
A3,3,-5,32,Infinity
A1,2,-3,32,Infinity
B3,3,15,32,Infinity
A1,2,15,32,Infinity
C3,3,-20,32,Infinity
A1,2,15,32,Infinity
E3,3,-16,32,Infinity
A1,2,15,32,Infinity
A4,3,-13,32,Infinity
A1,2,15,32,Infinity
B4,3,-21,32,Infinity
A1,2,15,32,Infinity
A5,3,-8,32,Infinity
A1,2,15,32,Infinity
B5,3,-3,32,Infinity
A1,2,15,32,Infinity
C5,3,-10,32,Infinity
A1,2,15,32,Infinity
D5,3,-12,32,Infinity
A1,2,15,32,Infinity
E5,3,-23,32,Infinity
A1,2,15,32,Infinity
E4,1,15,32,Infinity
root,0,32,32,Infinity
A5,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,6,32,Infinity
A1,2,6,32,Infinity
E1,3,20,32,Infinity
A1,2,20,32,Infinity
A2,3,10,32,Infinity
A1,2,20,32,Infinity
B2,3,2,32,Infinity
A1,2,20,32,Infinity
A3,3,18,32,Infinity
A1,2,20,32,Infinity
B3,3,38,32,Infinity
A1,2,38,38,Infinity
C3,3,3,38,Infinity
A1,2,38,38,Infinity
E3,3,7,38,Infinity
A1,2,38,38,Infinity
A4,3,10,38,Infinity
A1,2,38,38,Infinity
B4,3,2,38,Infinity
A1,2,38,38,Infinity
E4,3,-8,38,Infinity
A1,2,38,38,Infinity
B5,3,20,38,Infinity
A1,2,38,38,Infinity
C5,3,13,38,Infinity
A1,2,38,38,Infinity
D5,3,11,38,Infinity
A1,2,38,38,Infinity
E5,3,0,38,Infinity
A1,2,38,38,Infinity
A5,1,38,32,38
B1,2,-Infinity,32,38
A1,3,14,32,38
B1,2,14,32,38
E1,3,24,32,38
B1,2,24,32,38
A2,3,14,32,38
B1,2,24,32,38
B2,3,6,32,38
B1,2,24,32,38
A3,3,22,32,38
B1,2,24,32,38
B3,3,42,32,38
B1,2,42,32,38
A5,1,38,32,38
E1,2,-Infinity,32,38
A1,3,0,32,38
E1,2,0,32,38
B1,3,-4,32,38
E1,2,0,32,38
A2,3,0,32,38
E1,2,0,32,38
B2,3,-8,32,38
E1,2,0,32,38
A3,3,8,32,38
E1,2,8,32,38
B3,3,28,32,38
E1,2,28,32,38
C3,3,-7,32,38
E1,2,28,32,38
E3,3,-3,32,38
E1,2,28,32,38
A4,3,0,32,38
E1,2,28,32,38
B4,3,-8,32,38
E1,2,28,32,38
E4,3,-18,32,38
E1,2,28,32,38
B5,3,10,32,38
E1,2,28,32,38
C5,3,3,32,38
E1,2,28,32,38
D5,3,1,32,38
E1,2,28,32,38
E5,3,-10,32,38
E1,2,28,32,38
A5,1,28,32,38
root,0,32,32,Infinity
B5,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,11,32,Infinity
A1,2,11,32,Infinity
E1,3,25,32,Infinity
A1,2,25,32,Infinity
A2,3,15,32,Infinity
A1,2,25,32,Infinity
B2,3,7,32,Infinity
A1,2,25,32,Infinity
A3,3,23,32,Infinity
A1,2,25,32,Infinity
B3,3,43,32,Infinity
A1,2,43,43,Infinity
C3,3,8,43,Infinity
A1,2,43,43,Infinity
E3,3,12,43,Infinity
A1,2,43,43,Infinity
A4,3,15,43,Infinity
A1,2,43,43,Infinity
B4,3,7,43,Infinity
A1,2,43,43,Infinity
E4,3,-3,43,Infinity
A1,2,43,43,Infinity
A5,3,20,43,Infinity
A1,2,43,43,Infinity
C5,3,18,43,Infinity
A1,2,43,43,Infinity
D5,3,16,43,Infinity
A1,2,43,43,Infinity
E5,3,5,43,Infinity
A1,2,43,43,Infinity
B5,1,43,32,43
B1,2,-Infinity,32,43
A1,3,19,32,43
B1,2,19,32,43
E1,3,29,32,43
B1,2,29,32,43
A2,3,19,32,43
B1,2,29,32,43
B2,3,11,32,43
B1,2,29,32,43
A3,3,27,32,43
B1,2,29,32,43
B3,3,47,32,43
B1,2,47,32,43
B5,1,43,32,43
E1,2,-Infinity,32,43
A1,3,5,32,43
E1,2,5,32,43
B1,3,1,32,43
E1,2,5,32,43
A2,3,5,32,43
E1,2,5,32,43
B2,3,-3,32,43
E1,2,5,32,43
A3,3,13,32,43
E1,2,13,32,43
B3,3,33,32,43
E1,2,33,33,43
C3,3,-2,33,43
E1,2,33,33,43
E3,3,2,33,43
E1,2,33,33,43
A4,3,5,33,43
E1,2,33,33,43
B4,3,-3,33,43
E1,2,33,33,43
E4,3,-13,33,43
E1,2,33,33,43
A5,3,10,33,43
E1,2,33,33,43
C5,3,8,33,43
E1,2,33,33,43
D5,3,6,33,43
E1,2,33,33,43
E5,3,-5,33,43
E1,2,33,33,43
B5,1,33,32,33
A2,2,-Infinity,32,33
A1,3,15,32,33
A2,2,15,32,33
B1,3,11,32,33
A2,2,15,32,33
E1,3,25,32,33
A2,2,25,32,33
B2,3,7,32,33
A2,2,25,32,33
A3,3,23,32,33
A2,2,25,32,33
B3,3,43,32,33
A2,2,43,32,33
B5,1,33,32,33
B2,2,-Infinity,32,33
A1,3,23,32,33
B2,2,23,32,33
B1,3,19,32,33
B2,2,23,32,33
E1,3,33,32,33
B2,2,33,32,33
B5,1,33,32,33
A3,2,-Infinity,32,33
A1,3,7,32,33
A3,2,7,32,33
B1,3,3,32,33
A3,2,7,32,33
E1,3,17,32,33
A3,2,17,32,33
A2,3,7,32,33
A3,2,17,32,33
B2,3,-1,32,33
A3,2,17,32,33
B3,3,35,32,33
A3,2,35,32,33
B5,1,33,32,33
B3,2,-Infinity,32,33
A1,3,-13,32,33
B3,2,-13,32,33
B1,3,-17,32,33
B3,2,-13,32,33
E1,3,-3,32,33
B3,2,-3,32,33
A2,3,-13,32,33
B3,2,-3,32,33
B2,3,-21,32,33
B3,2,-3,32,33
A3,3,-5,32,33
B3,2,-3,32,33
C3,3,76,32,33
B3,2,76,32,33
B5,1,33,32,33
C3,2,-Infinity,32,33
A1,3,4,32,33
C3,2,4,32,33
B1,3,0,32,33
C3,2,4,32,33
E1,3,14,32,33
C3,2,14,32,33
A2,3,4,32,33
C3,2,14,32,33
B2,3,-4,32,33
C3,2,14,32,33
A3,3,12,32,33
C3,2,14,32,33
B3,3,32,32,33
C3,2,32,32,33
E3,3,-15,32,33
C3,2,32,32,33
A4,3,4,32,33
C3,2,32,32,33
B4,3,16,32,33
C3,2,32,32,33
E4,3,-14,32,33
C3,2,32,32,33
A5,3,9,32,33
C3,2,32,32,33
C5,3,27,32,33
C3,2,32,32,33
D5,3,5,32,33
C3,2,32,32,33
E5,3,-6,32,33
C3,2,32,32,33
B5,1,32,32,33
root,0,32,32,Infinity
C5,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,4,32,Infinity
A1,2,4,32,Infinity
E1,3,18,32,Infinity
A1,2,18,32,Infinity
A2,3,8,32,Infinity
A1,2,18,32,Infinity
B2,3,0,32,Infinity
A1,2,18,32,Infinity
A3,3,16,32,Infinity
A1,2,18,32,Infinity
B3,3,36,32,Infinity
A1,2,36,36,Infinity
C3,3,1,36,Infinity
A1,2,36,36,Infinity
E3,3,5,36,Infinity
A1,2,36,36,Infinity
A4,3,8,36,Infinity
A1,2,36,36,Infinity
B4,3,0,36,Infinity
A1,2,36,36,Infinity
E4,3,-10,36,Infinity
A1,2,36,36,Infinity
A5,3,13,36,Infinity
A1,2,36,36,Infinity
B5,3,18,36,Infinity
A1,2,36,36,Infinity
D5,3,9,36,Infinity
A1,2,36,36,Infinity
E5,3,-2,36,Infinity
A1,2,36,36,Infinity
C5,1,36,32,36
B1,2,-Infinity,32,36
A1,3,12,32,36
B1,2,12,32,36
E1,3,22,32,36
B1,2,22,32,36
A2,3,12,32,36
B1,2,22,32,36
B2,3,4,32,36
B1,2,22,32,36
A3,3,20,32,36
B1,2,22,32,36
B3,3,40,32,36
B1,2,40,32,36
C5,1,36,32,36
E1,2,-Infinity,32,36
A1,3,-2,32,36
E1,2,-2,32,36
B1,3,-6,32,36
E1,2,-2,32,36
A2,3,-2,32,36
E1,2,-2,32,36
B2,3,-10,32,36
E1,2,-2,32,36
A3,3,6,32,36
E1,2,6,32,36
B3,3,26,32,36
E1,2,26,32,36
C3,3,-9,32,36
E1,2,26,32,36
E3,3,-5,32,36
E1,2,26,32,36
A4,3,-2,32,36
E1,2,26,32,36
B4,3,-10,32,36
E1,2,26,32,36
E4,3,-20,32,36
E1,2,26,32,36
A5,3,3,32,36
E1,2,26,32,36
B5,3,8,32,36
E1,2,26,32,36
D5,3,-1,32,36
E1,2,26,32,36
E5,3,-12,32,36
E1,2,26,32,36
C5,1,26,32,36
root,0,32,32,Infinity
D5,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,2,32,Infinity
A1,2,2,32,Infinity
E1,3,16,32,Infinity
A1,2,16,32,Infinity
A2,3,6,32,Infinity
A1,2,16,32,Infinity
B2,3,-2,32,Infinity
A1,2,16,32,Infinity
A3,3,14,32,Infinity
A1,2,16,32,Infinity
B3,3,34,32,Infinity
A1,2,34,34,Infinity
C3,3,-1,34,Infinity
A1,2,34,34,Infinity
E3,3,3,34,Infinity
A1,2,34,34,Infinity
A4,3,6,34,Infinity
A1,2,34,34,Infinity
B4,3,-2,34,Infinity
A1,2,34,34,Infinity
E4,3,-12,34,Infinity
A1,2,34,34,Infinity
A5,3,11,34,Infinity
A1,2,34,34,Infinity
B5,3,16,34,Infinity
A1,2,34,34,Infinity
C5,3,9,34,Infinity
A1,2,34,34,Infinity
E5,3,-4,34,Infinity
A1,2,34,34,Infinity
D5,1,34,32,34
B1,2,-Infinity,32,34
A1,3,10,32,34
B1,2,10,32,34
E1,3,20,32,34
B1,2,20,32,34
A2,3,10,32,34
B1,2,20,32,34
B2,3,2,32,34
B1,2,20,32,34
A3,3,18,32,34
B1,2,20,32,34
B3,3,38,32,34
B1,2,38,32,34
D5,1,34,32,34
E1,2,-Infinity,32,34
A1,3,-4,32,34
E1,2,-4,32,34
B1,3,-8,32,34
E1,2,-4,32,34
A2,3,-4,32,34
E1,2,-4,32,34
B2,3,-12,32,34
E1,2,-4,32,34
A3,3,4,32,34
E1,2,4,32,34
B3,3,24,32,34
E1,2,24,32,34
C3,3,-11,32,34
E1,2,24,32,34
E3,3,-7,32,34
E1,2,24,32,34
A4,3,-4,32,34
E1,2,24,32,34
B4,3,-12,32,34
E1,2,24,32,34
E4,3,-22,32,34
E1,2,24,32,34
A5,3,1,32,34
E1,2,24,32,34
B5,3,6,32,34
E1,2,24,32,34
C5,3,-1,32,34
E1,2,24,32,34
E5,3,-14,32,34
E1,2,24,32,34
D5,1,24,32,34
root,0,32,32,Infinity
E5,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,-9,32,Infinity
A1,2,-9,32,Infinity
E1,3,5,32,Infinity
A1,2,5,32,Infinity
A2,3,-5,32,Infinity
A1,2,5,32,Infinity
B2,3,-13,32,Infinity
A1,2,5,32,Infinity
A3,3,3,32,Infinity
A1,2,5,32,Infinity
B3,3,23,32,Infinity
A1,2,23,32,Infinity
C3,3,-12,32,Infinity
A1,2,23,32,Infinity
E3,3,-8,32,Infinity
A1,2,23,32,Infinity
A4,3,-5,32,Infinity
A1,2,23,32,Infinity
B4,3,-13,32,Infinity
A1,2,23,32,Infinity
E4,3,-23,32,Infinity
A1,2,23,32,Infinity
A5,3,0,32,Infinity
A1,2,23,32,Infinity
B5,3,5,32,Infinity
A1,2,23,32,Infinity
C5,3,-2,32,Infinity
A1,2,23,32,Infinity
D5,3,-4,32,Infinity
A1,2,23,32,Infinity
E5,1,23,32,Infinity
root,0,32,32,Infinity
